id	charter	title1	black	hisp	white	locale	type	studentteacherratio	students	shooting
422595006392	FALSE	TRUE	0.0289017341	0.08670520231	0.8208092486	Suburb	Elementary	13.83	173	FALSE
341296002957	FALSE		0.156043956	0.2505494505	0.4901098901		Elementary	9.74	455	FALSE
400285002365	FALSE		0.07045454545	0.4318181818	0.3704545455		Middle	17.23	440	FALSE
231480723164	TRUE	FALSE	0.0243902439	0.0243902439	0.9024390244	Town	High	15.77	41	FALSE
440002500487	TRUE		0.2227074236	0.5807860262	0.1834061135		High	11.01	229	FALSE
450156000317	FALSE	FALSE	0.1812627291	0.07128309572	0.716904277	Rural	High	15.84	491	FALSE
421980006165	FALSE	TRUE	0.003703703704	0.01728395062	0.9703703704	Town	High	13.24	810	FALSE
230387000105	FALSE	TRUE	0.01115241636	0.01115241636	0.9256505576	Town	Middle	11.96	269	FALSE
251200001979	FALSE	FALSE	0.112962963	0.4098765432	0.4030864198	Urban	High	11.41	1620	FALSE
220087000686	FALSE	TRUE	0.9489655172	0.01103448276	0.02620689655	Urban	High	20.71	725	TRUE
340330004774	FALSE		0.02873563218	0.4827586207	0.4367816092		Elementary	12	174	FALSE
210516001263		TRUE	0	0.09362549801	0.8685258964	Rural	Elementary	15.86	502	FALSE
341305003558	FALSE		0.2962962963	0.2319688109	0.134502924		Middle	10.86	513	FALSE
250008601996	TRUE	TRUE	0.6328767123	0.2246575342	0.05205479452	Urban	High	10.31	365	FALSE
250960002614	FALSE	TRUE	0	0.02150537634	0.9408602151	Rural	Middle	10.6	186	FALSE
420007000514	TRUE	TRUE	0.0303030303	0.06926406926	0.658008658	Suburb	Middle	9.83	231	FALSE
420693003868	FALSE	TRUE	0	0.01219512195	0.9487804878	Rural	Middle	14.14	410	FALSE
251305002158	FALSE	FALSE	0.02320185615	0.03248259861	0.8596287703	Suburb	High	12	862	FALSE
220105000780	FALSE	TRUE	0.9537275064	0.002570694087	0.03084832905	Rural	High	13.5	389	TRUE
320000100851	TRUE	FALSE	0.09036144578	0.7550200803	0.1024096386	Urban	Middle	25.54	996	FALSE
450306001436	FALSE	FALSE	0.2068095839	0.08322824716	0.631778058	Town	Middle	13.91	793	FALSE
370237000582	FALSE	TRUE	0.1480730223	0.354969574	0.4482758621	Rural	Middle	14.29	493	FALSE
250279000946	FALSE	TRUE	0.2323651452	0.356846473	0.3402489627	Urban	Middle	13.06	241	FALSE
220003301485	TRUE	TRUE	0.4107913669	0.2935251799	0.2482014388	Urban	Middle	13.82	1390	FALSE
370018002367	FALSE	TRUE	0.8205128205	0	0.1538461538	Town	High	9.44	78	FALSE
292253000463	FALSE	TRUE	0.008219178082	0.06575342466	0.8520547945	Rural	Middle	12.97	365	FALSE
500581000208		TRUE	0.008101851852	0.02777777778	0.9502314815	Town	High	12.38	864	FALSE
402865001502	FALSE		0.005813953488	0.08527131783	0.484496124		Elementary	17.59	516	FALSE
200732001046	FALSE	TRUE	0.03205128205	0.0641025641	0.858974359	Town	Middle	13.11	156	FALSE
